id,x,y,z,type,excitation_type,layer
27739288722,297467,64578,2560,PYRAMIDAL,1,2
32475182075,433579,212285,1792,INTERNEURON,0,2
30284666886,209217,127774,4352,PYRAMIDAL,1,4
29788860403,214965,126209,4352,INTERNEURON,0,4
3368524004,226507,137008,1536,INTERNEURON,0,4
5697062393,194178,236583,2176,PYRAMIDAL,1,6
38710770247,150471,136395,2304,PYRAMIDAL,1,5
51687220112,330743,258295,2688,PYRAMIDAL,1,4
39052800624,367211,144428,2304,INTERNEURON,0,2
3112232654,408497,129378,1280,INTERNEURON,0,1
3006360875,294860,120075,5120,PYRAMIDAL,1,3
810707256,357906,65370,256,INTERNEURON,0,1
4917879656,423661,191518,1664,PYRAMIDAL,1,2
37232113042,346970,89248,4480,PYRAMIDAL,1,2
13024589480,384388,152862,3840,PYRAMIDAL,1,2
779943347,306625,57523,1408,INTERNEURON,0,2
51064458447,420414,240287,2688,PYRAMIDAL,1,3
503063606,296545,52283,0,PYRAMIDAL,1,2
39330964801,408473,154874,2560,INTERNEURON,0,2
3180420219,261082,129703,1408,PYRAMIDAL,1,4
32253040689,324457,210067,4352,PYRAMIDAL,1,4
47264168839,410890,130742,3584,INTERNEURON,0,1
36284756264,302402,63148,2688,INTERNEURON,0,2
30036070162,205130,144473,3584,PYRAMIDAL,1,5
1364610775,342952,106179,512,PYRAMIDAL,1,2
2205058653,251523,131328,128,PYRAMIDAL,1,4
4856468338,313628,185095,512,INTERNEURON,0,4
36781103626,347749,91816,5120,PYRAMIDAL,1,2
4576801371,229560,173774,4352,PYRAMIDAL,1,5
41707890203,80255,215035,3200,PYRAMIDAL,1,7
2407515771,217303,132936,1536,PYRAMIDAL,1,4
33491951624,355315,244286,2560,PYRAMIDAL,1,4
2000922209,253279,96883,896,INTERNEURON,0,3
38363865749,223521,126921,2816,INTERNEURON,0,4
12105105360,303405,128257,5248,PYRAMIDAL,1,3
3629779548,205244,142101,1664,INTERNEURON,0,5
1975617679,355206,103721,896,PYRAMIDAL,1,2
36095453561,303134,54071,4096,PYRAMIDAL,1,2
6353931778,282067,240272,768,PYRAMIDAL,1,5
41338761334,384450,212979,4736,INTERNEURON,0,3
28262617626,266069,95758,3200,PYRAMIDAL,1,3
64963763185,339320,138589,5120,INTERNEURON,0,3
74070245493,151547,135330,4992,INTERNEURON,0,5
6022620956,342381,229235,1280,INTERNEURON,0,4
33421367871,432827,240172,1280,INTERNEURON,0,2
1202451144,320428,72780,1664,PYRAMIDAL,1,2
32445716709,424918,213628,2560,PYRAMIDAL,1,2
67473369409,74073,201759,4864,PYRAMIDAL,1,7
30195527574,159157,156517,4352,PYRAMIDAL,1,5
4432690208,284236,175282,768,PYRAMIDAL,1,4
15321443610,300101,203322,5248,PYRAMIDAL,1,4
1683217893,334681,84133,2048,PYRAMIDAL,1,2
38732994848,383902,138217,4224,INTERNEURON,0,2
36430211826,312835,67420,5248,PYRAMIDAL,1,2
4956776980,286972,187055,4224,PYRAMIDAL,1,4
29179020164,244327,113008,3072,INTERNEURON,0,3
39998331716,338668,172838,3840,INTERNEURON,0,3
2921573497,349956,118160,3328,PYRAMIDAL,1,2
38378160387,217399,129093,4992,INTERNEURON,0,4
39490552702,400963,163666,3584,PYRAMIDAL,1,2
40364028336,400327,181719,3328,INTERNEURON,0,2
29004217296,253958,94833,3456,INTERNEURON,0,3
29370483046,316198,127005,2048,PYRAMIDAL,1,3
30953801389,218777,170734,2944,PYRAMIDAL,1,5
31651422051,178975,189372,2048,INTERNEURON,0,6
6089406844,185821,217722,3968,PYRAMIDAL,1,6
4794515772,220180,185782,1280,INTERNEURON,0,5
75799954629,82114,188204,4992,PYRAMIDAL,1,7
60203428557,333297,246946,3968,INTERNEURON,0,4
7357970055,235325,243916,4480,PYRAMIDAL,1,6
32092021735,301846,202617,3584,PYRAMIDAL,1,4
5290964635,256757,192636,896,INTERNEURON,0,5
852261673,310960,66358,256,PYRAMIDAL,1,2
37128855703,298397,78047,3200,INTERNEURON,0,2
2960120020,203591,124752,128,INTERNEURON,0,4
20544979565,198904,120079,896,PYRAMIDAL,1,4
31367490398,393564,178955,1664,INTERNEURON,0,2
30407065649,404110,150464,1664,INTERNEURON,0,2
98983305431,322352,87000,5248,INTERNEURON,0,2
36271703379,335758,84030,2944,PYRAMIDAL,1,2
1146077537,374381,67841,256,INTERNEURON,0,1
5000215910,275872,172216,2432,PYRAMIDAL,1,4
5104524250,311482,202257,1024,PYRAMIDAL,1,4
30123632042,193659,146523,3328,PYRAMIDAL,1,5
5092392325,403837,200942,512,PYRAMIDAL,1,2
4301790604,280677,164501,1920,PYRAMIDAL,1,4
35862028142,290173,48810,2688,PYRAMIDAL,1,0
6402422044,399932,228007,1280,INTERNEURON,0,3
5383535077,406114,203130,768,INTERNEURON,0,2
38981358367,407580,139348,2560,INTERNEURON,0,2
29824062527,384424,141247,2688,PYRAMIDAL,1,2
1727722354,353180,79955,1280,INTERNEURON,0,2
4303455251,317538,193091,1152,PYRAMIDAL,1,4
39505037109,391621,166007,2944,INTERNEURON,0,2
2904563596,296708,106116,3328,INTERNEURON,0,3
6236715797,241003,216204,2304,INTERNEURON,0,5
6612385739,164582,222822,3072,INTERNEURON,0,7
28453758768,330036,94392,2304,PYRAMIDAL,1,2
29645259501,245719,142668,4352,PYRAMIDAL,1,4
5365766809,303149,192403,3712,PYRAMIDAL,1,4
13679940632,366756,177163,2944,INTERNEURON,0,3
29398735513,287161,117535,2432,INTERNEURON,0,3
6874691081,171289,238597,2432,PYRAMIDAL,1,7
4924683839,210055,191464,1792,PYRAMIDAL,1,5
24183929410,183104,255686,3968,PYRAMIDAL,1,7
28378549379,248256,84139,2944,PYRAMIDAL,1,3
38203269882,202778,108306,4736,PYRAMIDAL,1,4
36952533816,244427,88146,2560,PYRAMIDAL,1,3
738183508,373062,56587,640,INTERNEURON,0,1
