id,x,y,z,type,excitation_type
8198238,28827.182,57950.678,39529.397,LN,0
8198317,28622.299,57737.739,39723.607,LN,0
8198416,28868.534,57936.289,39268.924,LN,0
8198513,28544.776,57425.660,38844.276,LN,0
8198913,62664.325,76538.860,110155.811,ascending,1
8199012,28950.850,92826.032,42326.505,sensory,1
8199671,28880.416,58537.345,39146.506,LN,0
8203947,51096.494,29246.608,55202.358,LHN,2
8216541,61145.953,72392.021,46897.174,DN-SEZ,0
8227502,38969.061,56853.205,48587.285,DN-SEZ,0
8229118,32326.811,40617.414,50643.389,PN-somato,1
8231264,31232.480,57864.165,41108.906,LN,0
8238322,67302.755,28621.550,58073.835,LHN,2
8243455,29210.208,41214.141,41774.201,PN,1
8244723,29418.579,43679.310,43937.512,PN,1
8244823,29860.893,42252.669,42535.908,PN,1
8245014,28428.536,39393.504,42364.896,PN,1
8245146,30407.787,41787.955,40243.308,PN,1
8245513,27805.753,42185.487,43158.752,PN,1
8245692,28188.955,42499.546,41320.699,PN,1
8245869,28236.801,39221.414,42001.991,PN,1
8246081,28008.394,43287.536,44595.713,PN,1
8246750,27267.979,40839.632,40640.028,PN,1
8247451,28540.468,41919.118,41683.367,PN,1
8247641,14717.065,39581.909,70718.996,LN,0
8248631,28561.107,39766.564,40339.051,PN,1
8248706,73134.896,27847.060,52723.981,KC,1
8252067,30038.824,39844.214,41240.757,PN,1
8253413,27549.489,41983.549,42142.368,PN,1
8253620,76337.077,34874.046,53004.735,pre-DN-VNC,3
8254894,34853.229,44617.792,47513.211,PN,1
8256186,27899.579,44869.938,43914.591,PN,1
8257672,56500.949,81281.462,112816.234,ascending,1
8262302,74721.896,32031.428,48486.865,KC,1
8262372,75565.925,31272.916,49856.005,KC,1
8262503,75170.709,30603.282,50030.398,KC,1
8263140,75331.374,29128.715,53195.160,KC,1
8263285,75859.420,29917.612,51986.874,KC,1
8270683,17277.997,34697.459,66891.195,PN,1
8271034,16123.574,38652.814,70369.450,LN,0
8271875,55226.893,41210.835,39900.165,pre-DN-VNC,3
8273369,75614.081,59869.599,42042.773,LN,0
8274021,75221.475,62180.263,42141.774,LN,0
8274902,30956.182,25269.807,43556.750,KC,1
8276782,76171.829,53203.249,45844.722,PN,1
8293958,77152.878,41264.771,52951.976,PN,1
8297018,41588.136,27320.720,30978.073,MBON,2
8305958,27419.853,20725.298,45932.782,LHN,2
8307514,27878.942,21663.800,46215.400,LHN,2
8310087,31511.285,22446.369,44824.655,LHN,2
